id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34024926,Adventure Camper Van + 150 Free Miles/day,145319188,Melody,,28806,35.59193,-82.57664,Entire home/apt,135,3,1,2019-06-09,0.27,1,343
34038444,Walkable West Asheville Studio Apartment,5928086,Ellie And Jordan,,28806,35.57209,-82.60096,Entire home/apt,61,2,34,2019-09-23,9.11,1,9
34065220,"Picturesque Home:Minutes to ""EVERYTHING"" Asheville",257241586,Vicki,,28803,35.54897,-82.48121,Entire home/apt,175,2,11,2019-09-15,2.58,1,29
34086588,"Comfy, Tranquil Tuck-Away, 10 Min to Downtown.",76236543,Jody & Jim,,28805,35.59683,-82.46548,Entire home/apt,68,2,15,2019-09-22,3.60,1,57
34087565,The Josephine,86003918,Pic,,28804,35.63156,-82.55368,Entire home/apt,375,2,12,2019-09-22,2.71,1,238
34095689,Charming House By Riverside Park - Entire House!,180564557,David,,28804,35.63678,-82.59656,Entire home/apt,188,1,52,2019-09-22,11.06,3,312
34123903,"Lil Happy Shack, 2 BR's in walkable W Asheville",5522269,Monica,,28806,35.5731,-82.57926,Private room,95,2,15,2019-09-22,3.38,1,75
34148130,The Magic Bullet @Baying Hound Campground,151279507,Bobby And Amanda,,28806,35.61219,-82.60331,Entire home/apt,29,2,13,2019-09-02,2.55,10,171
34152268,Car Camping at the Baying Hound Campground,151279507,Bobby And Amanda,,28806,35.61206,-82.60317,Entire home/apt,19,1,10,2019-09-08,2.04,10,175
34169447,Close to downtown Asheville HOT TUB KING BEDS,3665372,Tomasz,,28806,35.59462,-82.59227,Entire home/apt,186,1,30,2019-09-26,6.12,13,347
34203295,Hydrangea,258227258,Yelena,,28806,35.58818,-82.61881,Entire home/apt,60,1,35,2019-09-26,7.09,1,327
34207606,In east Asheville and so close to so much more!,173098107,Paul & Anne,,28805,35.58155,-82.48111,Private room,59,1,11,2019-09-17,4.71,1,140
34230189,The Triangle at the Baying Hound Campground,151279507,Bobby And Amanda,,28806,35.61377,-82.60367,Entire home/apt,20,1,14,2019-09-22,3.26,10,177
34274509,The Crooked Wood- Town and Mountain at your door!,84363656,Pat,,28801,35.60465,-82.54679,Entire home/apt,150,30,0,,,1,358
34285587,New Asheville Craftsman Minutes From Downtown,2819502,Ed,,28804,35.63617,-82.58861,Entire home/apt,95,1,26,2019-09-16,5.27,1,217
34326191,Tiny House on the Farm in Asheville NC HOT TUB,3665372,Tomasz,,28806,35.63295,-82.62957,Entire home/apt,149,1,36,2019-09-22,7.25,13,344
34381498,Quaint & Cozy in WNC - minutes from Asheville!,189523337,Tabitha,,28704,35.47024,-82.55663,Entire home/apt,139,2,7,2019-09-02,2.14,1,13
34411204,Farm Guest House in Asheville King Beds Hot Tub,3665372,Tomasz,,28806,35.63308,-82.62915,Entire home/apt,149,2,27,2019-09-21,5.59,13,332
34438347,Epic Views Asheville Big House King Beds hot tub!,3665372,Tomasz,,28806,35.60961,-82.63302,Entire home/apt,509,3,14,2019-09-22,2.94,13,294
34441424,Mountain Modern,96187307,Steve,,28804,35.62531,-82.52156,Entire home/apt,2275,1,1,2019-09-02,1,23,318
34441430,Asheville Sunrise,96187307,Steve,,28804,35.62568,-82.52125,Entire home/apt,1398,1,2,2019-07-18,0.71,23,336
34441459,Mills Gap Lodge,96187307,Steve,,28732,35.45845,-82.48059,Entire home/apt,1376,1,4,2019-09-22,2.35,23,332
34471467,Modern Lodge On River HOT TUB KING BEDS west avl,3665372,Tomasz,,28806,35.56867,-82.5682,Entire home/apt,349,2,15,2019-09-27,3.21,13,336
34473124,Haywood Rd West Asheville Suite KING BED HOT TUB,3665372,Tomasz,,28806,35.57855,-82.57655,Entire home/apt,129,1,30,2019-09-27,6.38,13,344
34478316,Historic West Asheville Home - LOCATION! -Hot tub,3665372,Tomasz,,28806,35.57699,-82.57585,Entire home/apt,299,2,18,2019-09-12,3.80,13,342
34478448,Asheville Mountain Views King Beds Hot Tub!,3665372,Tomasz,,28806,35.63172,-82.65745,Entire home/apt,349,2,9,2019-08-23,2.43,13,335
34479644,Peaceful Private Space - Comfortable & Convenient,60274263,Melissa,,28803,35.54767,-82.51388,Entire home/apt,85,2,7,2019-09-23,2.50,1,62
34506850,Heart Of Downtown Asheville 201,118878640,Crystal,,28801,35.59508,-82.55106,Entire home/apt,350,2,0,,,3,161
34507841,Central Downtown Asheville 203,118878640,Crystal,,28801,35.5956,-82.55289,Entire home/apt,350,2,1,2019-08-19,0.73,3,163
34541348,West Asheville Guest Suite HOT TUB KING BED,3665372,Tomasz,,28806,35.55373,-82.62268,Entire home/apt,98,1,28,2019-09-27,6.00,13,332
34541887,The Mountain Creek Big House,158630516,Portia,,28806,35.50915,-82.61682,Entire home/apt,161,2,21,2019-09-20,5.04,1,143
34546543,West Asheville Artist Family Home and Garden,30614816,Christa,,28806,35.60228,-82.60084,Entire home/apt,120,1,18,2019-08-12,4.54,1,0
34563400,"Fabulous Contemporary, Gorgeous Views Pet Friendly",5667550,Lisa,,28804,35.62246,-82.56355,Entire home/apt,188,30,0,,,1,150
34564890,South Asheville Private Suite,25274554,Kristin,,28704,35.47684,-82.50068,Entire home/apt,89,1,11,2019-07-09,2.62,1,293
34572413,NEW! Arden Cottage w/Fire Pit - 11 Mi to Asheville,151397468,Evolve,,28704,35.47855,-82.58271,Entire home/apt,210,2,1,2019-07-07,0.36,19,352
34619189,Cozy In Law By Richmond Hill Park,104115507,Karallyn,,28806,35.61725,-82.58645,Entire home/apt,73,2,23,2019-09-15,5.48,1,137
34619535,Big Farmhouse 15 min to downtown AVL HOT TUB,3665372,Tomasz,,28806,35.63088,-82.62823,Entire home/apt,499,2,11,2019-09-09,2.84,13,303
34640380,"Biltmore Homestay- 
Private Room with Bath ~1",60348510,Alicia,,28803,35.57179,-82.54789,Private room,68,7,0,,,6,120
34670804,TwinStar In Central Downtown,118878640,Crystal,,28801,35.59556,-82.55302,Entire home/apt,700,2,2,2019-07-28,0.78,3,164
34688513,NC PROPERTY - The Broad Sweet  Retreat Getaway,260767956,Gwen,,28801,35.58943,-82.55992,Entire home/apt,125,1,0,,,1,122
34742756,"NEW! Chestnut Hill -Spacious, 3 miles to Downtown!",79463303,Selina,,28806,35.604,-82.59946,Entire home/apt,99,1,14,2019-09-22,4.29,3,92
34744862,Explore Asheville! Minutes to Downtown & RAD!,38005428,Emily,,28715,35.54609,-82.67085,Entire home/apt,125,2,16,2019-09-23,4.14,1,39
34751313,NEW!! Peaceful Garden Oasis - 3 miles to downtown,79463303,Selina,,28806,35.60325,-82.59781,Entire home/apt,87,1,9,2019-09-24,2.43,3,169
34776098,Cozy Comfortable Room in West Asheville,56642643,Paul,,28806,35.57875,-82.63002,Private room,49,1,22,2019-09-13,4.93,2,0
34780477,Wonder West Asheville,282321,Jeramy,,28806,35.5745,-82.61181,Private room,67,1,4,2019-06-23,1.06,1,56
34782201,2 bedroom Modern Unit in West Asheville home.,156302420,Meridith,,28806,35.57404,-82.62525,Entire home/apt,120,1,31,2019-09-22,7.32,1,139
34787446,Groovy Turtle Shell-ter,151279507,Bobby And Amanda,,28806,35.6116,-82.60341,Entire home/apt,22,1,19,2019-09-08,4.25,10,171
34787454,Enjoy This Private Space in Charming Kenilworth,262300947,Mauri,,28805,35.57395,-82.53269,Private room,60,2,3,2019-06-14,0.72,1,0
34791824,"*Brand New*Bright, Modern Studio 10 mins to dwntwn",17721333,Lindsay,,28804,35.65173,-82.59651,Entire home/apt,80,1,51,2019-09-22,11.95,1,133
34832746,Sunny Room near Downtown,8302959,Dane,,28801,35.57815,-82.55733,Private room,35,1,30,2019-09-22,10.71,2,68
34887534,Cozy Room near South Slope Breweries,8302959,Dane,,28801,35.57927,-82.55534,Private room,40,1,19,2019-09-25,6.63,2,65
34900080,"Charming, Newly Renovated 1 bdr/1 bath in Historic King James Building Unit #7",167186184,Towns,,28801,35.60232,-82.54569,Entire home/apt,195,1,16,2019-09-02,3.84,47,324
34929586,Cozy and quiet apartment in West Asheville,27091046,Jane,,28806,35.58863,-82.60478,Entire home/apt,88,2,6,2019-09-15,1.44,1,276
35012806,Mountain Views Minutes from Brews,43095235,Terra,,28806,35.56879,-82.61692,Private room,97,2,5,2019-09-02,1.65,2,365
35031057,"2 bedroom 1 bath, 7 min to Downtown AVL",263240332,Wanda,,28805,35.59077,-82.47015,Entire home/apt,155,2,8,2019-09-02,2.02,1,344
35033865,Lovely Apt. Near Blue Ridge Parkway and Downtown,26047490,Tobias,,28803,35.55268,-82.49069,Entire home/apt,60,2,24,2019-09-22,6.37,2,317
35038518,"Blue Ridge Parkway, Close to Downtown",26047490,Tobias,,28803,35.55261,-82.48909,Entire home/apt,100,2,16,2019-09-22,4.44,2,308
35064768,Purple House Downtown: Suite With Private Entrance,15785799,Elise,,28801,35.59146,-82.54484,Entire home/apt,119,1,14,2019-09-22,4.29,1,147
35079780,"Villa Rose- On 2 acres, 1 mi to Biltmore, 4 mi DT",10453340,Brett,,28803,35.56862,-82.52487,Entire home/apt,80,2,5,2019-09-22,5,3,40
35096181,AVL Montford Getaway: Relaxing & Beautiful Suite,24764498,Alexis,,28801,35.60643,-82.57664,Entire home/apt,215,1,2,2019-08-25,0.66,2,162
35131449,Light Airy West Asheville Room,29657815,Eliana,,28806,35.57607,-82.57295,Private room,45,1,11,2019-07-28,3.17,2,271
35162584,Trippy Tortoise Shell-ter,151279507,Bobby And Amanda,,28806,35.6117,-82.60342,Entire home/apt,22,1,22,2019-09-22,5.89,10,173
